,Date,Open,High,Low,Close,Volume
0,11-11-2017,0.074644,0.081936,0.074328,0.078261,145377173.0
1,12-11-2017,0.077447,0.078832,0.065263,0.067637,214308634.0
2,13-11-2017,0.068183,0.079276,0.066426,0.079244,162349496.0
3,14-11-2017,0.078565,0.081071,0.074006,0.077453,173986236.0
4,15-11-2017,0.07777,0.088193,0.077083,0.087366,185350147.0
5,16-11-2017,0.087965,0.092942,0.084053,0.090772,223488323.0
6,17-11-2017,0.090182,0.091046,0.082847,0.085371,181214075.0
7,18-11-2017,0.085034,0.090012,0.081523,0.089252,107153383.0
8,19-11-2017,0.088105,0.092407,0.087143,0.089469,93076117.0
9,20-11-2017,0.089352,0.092965,0.08762,0.090714,139391829.0
10,21-11-2017,0.091811,0.093843,0.084653,0.09011,197701704.0
11,22-11-2017,0.090895,0.133159,0.089072,0.118258,1222261079.0
12,23-11-2017,0.118015,0.145046,0.118015,0.122063,1686596208.0
13,24-11-2017,0.125266,0.127672,0.115624,0.123399,619924033.0
14,25-11-2017,0.124339,0.133976,0.121375,0.133976,351218243.0
15,26-11-2017,0.134035,0.137908,0.121568,0.131048,496046708.0
16,27-11-2017,0.129308,0.131643,0.122108,0.128171,398813346.0
17,28-11-2017,0.128387,0.152148,0.125659,0.152148,535649576.0
18,29-11-2017,0.150236,0.165977,0.128246,0.133876,712817820.0
19,30-11-2017,0.131777,0.146122,0.121856,0.134064,317208715.0
20,01-12-2017,0.132236,0.144249,0.127071,0.13857,339200676.0
21,02-12-2017,0.136873,0.142706,0.130144,0.138607,321142392.0
22,03-12-2017,0.134962,0.150975,0.133578,0.14341,306528296.0
23,04-12-2017,0.142325,0.159299,0.140491,0.158573,405991246.0
24,05-12-2017,0.159261,0.172338,0.156164,0.159555,564505227.0
25,06-12-2017,0.160526,0.17179,0.157435,0.17179,583774379.0
26,07-12-2017,0.166553,0.184514,0.162412,0.175612,1017420408.0
27,08-12-2017,0.176246,0.183744,0.149911,0.179167,760591272.0
28,09-12-2017,0.17868,0.183495,0.156365,0.16871,423215249.0
29,10-12-2017,0.168089,0.176799,0.148702,0.164184,361993892.0
30,11-12-2017,0.165262,0.186247,0.163361,0.180029,451552959.0
31,12-12-2017,0.179813,0.217705,0.17176,0.212771,1238321840.0
32,13-12-2017,0.212906,0.250339,0.207221,0.22305,2007675505.0
33,14-12-2017,0.222315,0.239147,0.22007,0.238602,1507007446.0
34,15-12-2017,0.23612,0.244036,0.223072,0.241027,1220136266.0
35,16-12-2017,0.241361,0.400493,0.233068,0.380146,8736136197.0
36,17-12-2017,0.379086,0.488696,0.357916,0.383383,6369660004.0
37,18-12-2017,0.380471,0.43737,0.36021,0.412978,2834994960.0
38,19-12-2017,0.410978,0.429059,0.350707,0.362905,2490629085.0
39,20-12-2017,0.359927,0.453077,0.313316,0.427057,4347940200.0
40,21-12-2017,0.431664,0.561311,0.422022,0.475247,10187447540.0
41,22-12-2017,0.472801,0.488088,0.303574,0.387499,4077046539.0
42,23-12-2017,0.392676,0.516925,0.391078,0.464662,4489860087.0
43,24-12-2017,0.466117,0.57277,0.382409,0.54936,9202526182.0
44,25-12-2017,0.553593,0.68675,0.549329,0.571659,11394355578.0
